3.475504,,3.4573789,20.4272024
3.479015,,,
3.471696,,,
3.495236,,,
3.481551,,,
3.432113,,,
3.420219,,,
3.437847,,,
3.445751,,,
3.434857,,,
3.905424,,3.907131,
3.893766,,,
3.916833,,,
3.900993,,,
3.906297,,,
3.890012,,,
3.884157,,,
3.885602,,,
3.874077,,,
4.014149,,,
4.366587,,4.3382434,
4.335755,,,
4.329027,,,
4.304993,,,
4.440231,,,
4.35055,,,
4.368786,,,
4.295581,,,
4.293974,,,
4.29695,,,
4.262307,,4.3143361,
4.290988,,,
4.327982,,,
4.498135,,,
4.309686,,,
4.29959,,,
4.287578,,,
4.279788,,,
4.292135,,,
4.295172,,,
4.71852,,4.410113,
4.756968,,,
4.342652,,,
4.313571,,,
4.308847,,,
4.363406,,,
4.361934,,,
4.293049,,,
4.305601,,,
4.336582,,,
,,4.08544048,
