fname,avg,stddev,min,max
pow,4946.64637,1313.86450,3927.000000,55007.000000
log,2919.36647,3243.84759,2281.000000,761471.000000
exp,2219.70213,1782.72687,1496.000000,497082.000000
sin,2525.16606,1320.24081,1933.000000,311588.000000
cos,2116.50625,807.54323,1634.000000,32800.000000
tan,3580.32129,2729.23759,2510.000000,652717.000000
