fname,avg,stddev,min,max
pow,3055.03385,616.26557,2483.000000,52201.000000
log,877.27254,403.51235,594.000000,63287.000000
exp,745.72529,349.36387,505.000000,31762.000000
sin,484.37882,274.92831,308.000000,16729.000000
cos,487.50705,319.52135,311.000000,26254.000000
tan,992.59626,457.42210,620.000000,28513.000000
