fname,avg,stddev,min,max
pow,148.21615,129.11655,142.000000,16009.000000
log,108.87434,88.71361,101.000000,15901.000000
exp,89.58362,92.88824,70.000000,15256.000000
sin,85.51472,92.36393,72.000000,17037.000000
cos,70.43844,107.16111,58.000000,16141.000000
tan,80.24537,111.87370,61.000000,15883.000000
